trip_id,payment_type,fare_amount,trip_distance,passenger_count,pickup_hour
1,UPI,137.75,0.59,5,19
2,Wallet,107.72,48.02,1,4
3,Cash,623.98,27.0,1,3
4,UPI,967.81,35.17,1,9
5,UPI,527.59,45.67,1,0
6,Wallet,98.94,21.94,3,5
7,Cash,260.16,22.31,3,15
8,Cash,282.55,8.77,2,0
9,UPI,370.96,45.34,3,21
10,Card,91.42,32.56,1,1
11,UPI,909.65,9.42,2,2
12,UPI,539.79,28.21,2,6
13,UPI,687.38,16.74,5,5
14,UPI,113.81,7.79,4,21
15,Wallet,101.41,9.5,5,21
16,Cash,607.14,28.18,2,23
17,Wallet,892.93,28.44,3,11
18,Wallet,552.06,39.6,4,17
19,Wallet,883.93,12.78,2,9
20,UPI,820.44,45.83,4,16
21,Card,122.06,26.17,2,0
22,Cash,241.86,10.61,5,2
23,Card,674.83,20.96,4,0
24,Wallet,471.33,46.21,2,12
25,Wallet,326.16,24.17,4,3
26,Card,447.7,43.8,2,14
27,Card,472.94,8.41,2,1
28,Card,915.02,45.74,4,13
29,Wallet,148.29,21.82,3,4
30,Wallet,315.74,46.84,2,0
31,Cash,560.69,43.37,3,6
32,Cash,713.37,33.17,2,8
33,Wallet,649.11,33.81,2,20
34,Card,944.56,10.97,2,0
35,Card,805.83,30.34,3,7
36,Cash,579.22,27.7,2,22
37,Wallet,253.95,17.04,3,19
38,Cash,478.33,25.53,5,22
39,Cash,708.71,46.49,4,15
40,UPI,846.06,0.76,3,10
41,UPI,961.75,21.15,1,11
42,UPI,625.18,17.02,2,22
43,Card,550.57,48.08,4,18
44,Wallet,66.81,48.71,4,14
45,Wallet,118.49,29.49,5,23
46,Wallet,198.3,27.73,4,14
47,Wallet,102.02,45.21,4,4
48,UPI,430.82,0.82,1,2
49,Card,370.03,28.33,1,7
50,Card,655.49,1.72,1,0
51,UPI,558.88,48.42,1,21
52,Card,616.17,16.35,3,21
53,UPI,498.38,26.28,1,15
54,Wallet,313.85,21.17,4,13
55,UPI,955.18,44.73,1,22
56,Wallet,132.09,49.99,2,2
57,Wallet,941.95,3.89,4,1
58,Cash,345.68,36.74,3,20
59,UPI,537.03,18.72,1,3
60,Cash,153.4,7.38,4,11
61,UPI,117.38,20.57,1,16
62,UPI,458.07,49.91,2,13
63,Cash,754.61,18.2,1,15
64,Cash,305.9,14.23,2,4
65,UPI,584.23,42.39,4,15
66,Card,314.72,43.46,2,23
67,Wallet,419.18,17.27,2,0
68,Cash,911.12,15.28,5,11
69,Wallet,863.05,32.54,4,0
70,Card,540.22,10.66,3,8
71,Card,276.2,24.44,2,23
72,Card,233.52,7.5,4,22
73,Cash,956.38,15.59,2,10
74,Card,242.58,15.23,5,7
75,Cash,817.76,34.9,3,0
76,Card,400.52,14.47,3,11
77,Wallet,986.38,44.98,2,19
78,Wallet,399.75,49.16,4,11
79,UPI,383.94,4.51,1,11
80,Wallet,655.59,20.18,1,4
81,UPI,963.44,15.44,4,15
82,Wallet,977.4,17.92,4,15
83,Cash,721.85,13.64,4,0
84,Wallet,766.88,19.44,2,0
85,UPI,585.23,7.5,4,23
86,UPI,767.99,14.35,1,7
87,Card,866.79,37.52,3,4
88,Cash,511.79,17.53,3,11
89,Wallet,638.87,10.79,4,20
90,Card,560.45,5.87,1,22
91,Wallet,584.35,17.73,4,4
92,Wallet,895.55,32.35,4,16
93,Card,387.84,13.04,4,17
94,Card,247.77,21.41,4,8
95,Card,483.47,47.64,5,7
96,Card,247.68,27.84,2,23
97,Card,523.48,26.83,1,6
98,Wallet,908.33,20.79,4,13
99,Card,636.56,28.06,2,16
100,Cash,862.66,49.24,5,2
101,UPI,207.88,13.06,2,20
102,Card,905.83,47.13,5,1
103,Card,621.7,7.88,4,0
104,Wallet,80.17,6.0,5,21
105,Card,651.46,32.91,3,1
106,Card,953.83,12.93,4,19
107,Card,125.21,22.5,5,11
108,Wallet,603.33,36.62,4,11
109,Card,919.7,26.97,5,9
110,UPI,59.21,1.18,2,20
111,Wallet,649.37,15.64,1,21
112,UPI,501.16,3.7,3,13
113,Wallet,379.64,46.34,4,1
114,Card,646.16,39.84,2,20
115,UPI,100.07,49.2,5,13
116,Wallet,765.41,44.31,3,7
117,Cash,54.26,24.03,1,18
118,Card,341.59,44.19,4,7
119,Wallet,528.76,33.79,5,16
120,Cash,408.17,26.47,3,6
121,Wallet,342.1,18.85,3,14
122,Cash,839.29,34.21,1,16
123,Card,938.09,29.71,5,18
124,UPI,880.03,30.9,5,9
125,Cash,546.31,20.29,2,18
126,Wallet,889.96,37.1,5,14
127,Card,924.82,4.53,1,16
128,Cash,438.78,36.44,2,10
129,Wallet,319.27,36.67,5,0
130,Wallet,143.35,26.04,3,23
131,Wallet,505.14,13.53,1,3
132,Cash,948.98,26.2,4,7
133,Cash,582.86,6.59,4,19
134,Cash,684.18,14.61,1,20
135,UPI,157.24,21.35,1,21
136,Cash,186.34,33.83,4,11
137,Cash,491.25,9.77,4,0
138,Cash,953.7,8.33,4,11
139,UPI,392.75,30.59,2,15
140,Cash,883.61,34.14,1,1
141,Wallet,164.27,4.64,2,20
142,Cash,636.17,2.14,5,3
143,Wallet,620.58,7.78,2,11
144,Wallet,866.88,45.1,3,1
145,Wallet,53.15,33.8,1,18
146,UPI,230.44,46.09,5,20
147,UPI,258.7,33.4,4,22
148,UPI,952.47,48.28,3,1
149,Cash,196.01,22.23,5,2
150,Wallet,85.11,30.16,5,13
151,UPI,557.74,30.26,3,3
152,UPI,552.13,0.66,1,13
153,Cash,851.84,1.86,5,18
154,UPI,951.42,7.69,2,17
155,Cash,561.62,25.8,2,22
156,Card,933.49,21.81,2,1
157,UPI,738.9,27.22,1,9
158,Card,301.33,40.12,4,12
159,Cash,932.0,41.2,5,12
160,Wallet,684.07,48.86,2,13
161,UPI,443.39,28.1,1,10
162,Cash,696.23,17.69,4,15
163,Wallet,431.25,15.75,5,6
164,Wallet,158.47,17.37,4,0
165,Card,733.03,16.53,2,5
166,Cash,832.88,19.95,4,1
167,Wallet,742.37,4.21,1,2
168,UPI,267.66,31.85,2,3
169,UPI,958.8,28.62,5,17
170,Card,73.99,23.37,3,7
171,Wallet,366.05,4.51,5,6
172,Cash,297.09,5.11,5,11
173,UPI,95.72,27.48,5,15
174,Wallet,435.44,2.31,1,8
175,Wallet,641.96,36.38,2,21
176,Card,888.43,49.69,5,10
177,UPI,990.21,30.07,1,15
178,UPI,817.69,36.31,1,21
179,Cash,495.25,22.23,2,7
180,UPI,737.52,33.54,1,6
181,Cash,851.44,32.76,2,0
182,UPI,492.04,41.29,1,2
183,Card,795.8,35.71,2,13
184,UPI,508.52,37.58,4,16
185,Cash,417.17,28.05,5,10
186,Cash,549.79,24.48,2,4
187,Card,692.06,23.21,2,9
188,UPI,740.54,19.9,4,5
189,UPI,388.9,13.67,5,15
190,Card,592.75,2.15,3,11
191,UPI,914.38,33.72,2,6
192,UPI,977.5,45.1,5,12
193,Cash,265.89,46.56,1,22
194,UPI,233.19,29.24,5,4
195,UPI,692.85,5.16,2,0
196,Card,443.95,43.99,4,15
197,Card,73.01,37.51,3,10
198,Wallet,379.52,12.94,1,20
199,Cash,816.41,40.28,4,22
200,UPI,807.56,23.86,2,22
201,UPI,519.95,44.44,4,4
202,Wallet,498.95,12.76,1,9
203,UPI,600.53,40.14,5,17
204,Cash,258.43,35.74,4,23
205,Wallet,549.74,1.21,1,5
206,Cash,60.49,28.39,4,10
207,Wallet,501.78,35.92,2,2
208,Wallet,369.25,8.24,3,20
209,Card,691.13,26.83,3,3
210,Cash,656.44,15.55,3,18
211,UPI,411.79,34.96,1,22
212,UPI,56.91,27.24,3,6
213,Cash,289.66,31.26,1,4
214,UPI,651.68,4.09,2,21
215,UPI,118.75,7.32,1,13
216,Cash,152.26,27.83,3,1
217,Wallet,664.68,9.47,3,15
218,Cash,767.98,25.19,3,14
219,Wallet,355.47,34.66,4,7
220,UPI,515.19,40.58,3,6
221,UPI,948.43,7.58,3,12
222,UPI,948.27,37.22,1,10
223,Card,342.13,18.48,5,13
224,Wallet,819.49,34.11,4,5
225,Card,614.25,7.69,5,20
226,Card,976.71,26.0,1,5
227,Cash,503.73,41.96,3,11
228,Card,785.97,5.77,3,23
229,Cash,779.73,41.47,5,5
230,Cash,522.56,22.91,3,0
231,Card,805.85,41.25,3,15
232,Wallet,297.99,47.94,4,6
233,Wallet,166.14,8.4,3,1
234,Wallet,453.91,33.89,3,22
235,Wallet,946.45,12.14,5,8
236,Wallet,525.71,7.21,1,13
237,Card,653.5,31.59,3,16
238,Card,642.95,5.85,4,22
239,UPI,175.94,23.53,1,13
240,Wallet,420.78,31.98,4,6
241,Card,721.59,25.23,5,12
242,UPI,973.39,35.0,1,23
243,Wallet,209.62,40.17,2,23
244,Cash,439.92,43.68,4,13
245,UPI,140.34,28.21,2,16
246,Card,280.26,14.19,4,0
247,Cash,407.92,25.73,1,5
248,Cash,563.61,19.69,4,2
249,Cash,269.04,11.68,5,0
250,UPI,266.18,26.69,4,0
251,Card,788.94,1.62,3,0
252,Cash,964.51,30.48,4,13
253,Wallet,357.43,41.17,1,23
254,Cash,703.59,49.97,1,11
255,Cash,295.18,46.12,5,21
256,UPI,931.55,4.95,5,14
257,UPI,689.26,8.54,3,14
258,Card,812.54,7.36,3,4
259,Wallet,96.89,28.14,3,4
260,UPI,618.58,2.77,1,14
261,Cash,551.23,46.88,4,9
262,Card,328.35,3.56,2,20
263,Cash,299.31,19.87,3,18
264,Cash,601.02,44.75,5,0
265,UPI,721.16,47.44,5,15
266,Card,81.51,23.53,3,5
267,Wallet,589.03,24.68,1,1
268,Wallet,211.94,31.99,5,5
269,UPI,183.34,20.68,2,12
270,UPI,641.96,16.57,4,22
271,Card,345.33,37.1,5,10
272,Wallet,468.84,29.97,2,8
273,Wallet,392.0,24.34,4,18
274,Wallet,665.92,5.49,1,10
275,Cash,496.61,3.91,2,10
276,Wallet,965.29,25.79,3,5
277,Cash,384.76,31.16,4,4
278,Card,753.27,33.05,1,7
279,Cash,294.43,44.8,5,7
280,Card,533.32,40.9,1,19
281,Wallet,574.94,7.47,2,17
282,Wallet,362.65,39.82,3,3
283,Card,498.19,33.98,3,2
284,UPI,315.31,41.49,5,1
285,Card,55.7,42.25,2,15
286,UPI,254.87,17.6,4,4
287,Cash,715.06,13.53,2,6
288,Cash,782.41,27.86,5,2
289,Cash,316.19,15.28,5,5
290,Wallet,437.64,17.81,3,21
291,Cash,85.5,3.92,4,19
292,UPI,275.21,49.57,2,13
293,Cash,790.26,15.81,1,4
294,Card,625.69,39.11,3,21
295,Card,245.48,49.66,1,1
296,Wallet,294.57,48.47,1,14
297,Card,825.96,31.88,1,2
298,UPI,248.63,27.16,2,5
299,Cash,367.45,15.81,1,21
300,Wallet,681.14,43.14,1,20
301,Cash,583.06,17.23,1,1
302,Cash,487.83,5.78,5,4
303,UPI,904.75,15.06,1,3
304,Card,258.72,16.1,3,11
305,Card,754.35,36.07,1,19
306,Cash,201.11,8.89,4,20
307,Wallet,634.95,16.18,2,14
308,Card,877.09,4.29,1,0
309,Wallet,485.01,42.5,5,21
310,Card,738.08,36.38,3,14
311,Wallet,829.37,22.16,3,10
312,UPI,179.23,21.79,5,14
313,Wallet,720.54,8.74,5,16
314,UPI,923.85,19.53,1,3
315,UPI,597.55,45.39,2,11
316,Wallet,226.82,7.36,1,15
317,UPI,170.6,38.37,5,16
318,Cash,296.75,2.84,2,17
319,UPI,148.34,15.93,1,22
320,Card,537.72,42.42,3,9
321,Wallet,116.22,22.53,4,14
322,Cash,262.23,35.28,3,12
323,Wallet,467.91,5.63,4,5
324,Card,500.22,34.33,3,8
325,Card,587.13,41.04,3,19
326,Card,720.33,40.36,5,4
327,UPI,94.87,22.22,5,20
328,UPI,126.59,45.25,5,3
